snap_index;snap_ts;price;bias;stage;result;reason;extra
686;2025-10-16T13:15:00Z;60.86;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
687;2025-10-16T13:20:00Z;60.99;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
687;2025-10-16T13:20:00Z;60.99;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
688;2025-10-16T13:25:00Z;61.09;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
688;2025-10-16T13:25:00Z;61.09;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
689;2025-10-16T13:30:00Z;61.09;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
689;2025-10-16T13:30:00Z;61.09;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
690;2025-10-16T13:35:00Z;61.12;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
690;2025-10-16T13:35:00Z;61.12;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
691;2025-10-16T13:40:00Z;61.26;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
691;2025-10-16T13:40:00Z;61.26;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
692;2025-10-16T13:45:00Z;61.16;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
692;2025-10-16T13:45:00Z;61.16;NEUTRAL_FLAG;H1_IMPULSE;SKIP;IMPULSE_TOO_LARGE_ATR;imp_dir=DOWN, imp_bars=6.0, imp_atr=3.969332963880824, imp_pct=-2.462424048608889
693;2025-10-16T13:50:00Z;61.17;NEUTRAL_FLAG;DAILY_FILTER;OK;OK_DAILY;
