snap_index;snap_ts;price;bias;stage;result;reason;extra
0;2025-11-02T23:55:00Z;65.24;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.07360242376781, ema50=65.04671050621198, rsi_pct=73.0, atr_pct=29.5, slope_pct=-0.0009409926177117019
1;2025-11-03T00:00:00Z;65.19;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
2;2025-11-03T00:05:00Z;65.2;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
3;2025-11-03T00:10:00Z;65.21;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
4;2025-11-03T00:15:00Z;65.24;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
5;2025-11-03T00:20:00Z;65.21;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
6;2025-11-03T00:25:00Z;65.18;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
7;2025-11-03T00:30:00Z;65.24;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
8;2025-11-03T00:35:00Z;65.26;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
9;2025-11-03T00:40:00Z;65.19;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
10;2025-11-03T00:45:00Z;65.23;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
11;2025-11-03T00:50:00Z;65.24;NONE;DAILY;SKIP;DAILY_BIAS_NONE;ema20=64.18468790721849, ema50=65.05429048636053, rsi_pct=83.0, atr_pct=26.0, slope_pct=-0.0009536211970378486
