IMPULSE_TOO_SHORT;1968
FLAG_NOT_ACTIVE;1800
IMPULSE_TOO_SMALL_ATR;1471
IMPULSE_TOO_LARGE_ATR;456
FLAG_TOO_NARROW;50
NOT_ENOUGH_M5_CANDLES;37
M5_ATR_TOO_HIGH;19
FLAG_POSITION_NOT_GOOD_FOR_BUY;14
SL_ON_WRONG_SIDE;8
RR_TOO_LOW;4
TP_TOO_CLOSE_ABS;2
